species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,3,13,0.1,-0.6869852897877715,392,76
bird1,4,13,0.001,-0.6901256405060712,2744,133
bird1,4,13,0.01,-0.6871147974720193,2744,133
bird1,4,13,0.1,-0.6855902277328828,2744,133
bird1,5,13,0.001,-0.6989114301936936,19208,196
bird1,5,13,0.01,-0.6933960319183679,19208,196
bird1,5,13,0.1,-0.690531181461877,19208,196
bird1,0,14,0.001,-1.7286783462702395,1,1
bird1,0,14,0.01,-1.7286783540081834,1,1
bird1,0,14,0.1,-1.7286784316459685,1,1
bird1,1,14,0.001,-0.7497002027982064,8,8
bird1,1,14,0.01,-0.7495287455377129,8,8
bird1,1,14,0.1,-0.7493771238953437,8,8
bird1,2,14,0.001,-0.705811416835944,56,33
bird1,2,14,0.01,-0.7043816011239712,56,33
bird1,2,14,0.1,-0.7032174823327991,56,33
bird1,3,14,0.001,-0.6970833801471366,392,74
bird1,3,14,0.01,-0.6935820066343776,392,74
bird1,3,14,0.1,-0.6909087432967203,392,74
bird1,4,14,0.001,-0.7083306143930742,2744,132
bird1,4,14,0.01,-0.7017350734896047,2744,132
bird1,4,14,0.1,-0.6968893087288962,2744,132
bird1,5,14,0.001,-0.7225124846886897,19208,214
bird1,5,14,0.01,-0.7127764755949347,19208,214
bird1,5,14,0.1,-0.7060457820172646,19208,214
bird1,0,15,0.001,-1.7220136367225602,1,1
bird1,0,15,0.01,-1.722013707892625,1,1
bird1,0,15,0.1,-1.7220144197611302,1,1
bird1,1,15,0.001,-0.748818670021767,8,8
bird1,1,15,0.01,-0.7488194586752183,8,8
bird1,1,15,0.1,-0.7488285533478967,8,8
bird1,2,15,0.001,-0.7088472555526919,56,34
bird1,2,15,0.01,-0.7067574748756568,56,34
bird1,2,15,0.1,-0.7050604771802504,56,34
bird1,3,15,0.001,-0.6968721544573525,392,72
bird1,3,15,0.01,-0.6953016363240861,392,72
bird1,3,15,0.1,-0.6944892160374483,392,72
bird1,4,15,0.001,-0.7231226250376346,2744,126
bird1,4,15,0.01,-0.7115841138998392,2744,126
bird1,4,15,0.1,-0.7031670363297262,2744,126
bird1,5,15,0.001,-0.7156354624023903,19208,190
bird1,5,15,0.01,-0.7085004259221337,19208,190
bird1,5,15,0.1,-0.7041983192296095,19208,190
bird1,0,16,0.001,-1.7361690911234298,1,1
bird1,0,16,0.01,-1.736169094031595,1,1
bird1,0,16,0.1,-1.7361691233613321,1,1
bird1,1,16,0.001,-0.7488505736888257,8,8
bird1,1,16,0.01,-0.7486761326983176,8,8
bird1,1,16,0.1,-0.7485235452294428,8,8
bird1,2,16,0.001,-0.7034729679307394,56,35
bird1,2,16,0.01,-0.7025693661963365,56,35
bird1,2,16,0.1,-0.7019208762434686,56,35
bird1,3,16,0.001,-0.6944751602418816,392,75
bird1,3,16,0.01,-0.6918840805631744,392,75
bird1,3,16,0.1,-0.6902614841492946,392,75
bird1,4,16,0.001,-0.7033511288191954,2744,129
bird1,4,16,0.01,-0.6966638031073339,2744,129
bird1,4,16,0.1,-0.6922459062832147,2744,129
bird1,5,16,0.001,-0.7112902363895589,19208,200
bird1,5,16,0.01,-0.7021730618612156,19208,200
bird1,5,16,0.1,-0.6965977648070687,19208,200
bird1,0,17,0.001,-1.721260151959246,1,1
bird1,0,17,0.01,-1.721260151343577,1,1
bird1,0,17,0.1,-1.7212601454760563,1,1
bird1,1,17,0.001,-0.7417348735475904,8,8
bird1,1,17,0.01,-0.7417378461464095,8,8
bird1,1,17,0.1,-0.7417680585795996,8,8
bird1,2,17,0.001,-0.6975649211239674,56,33
bird1,2,17,0.01,-0.6966915992244707,56,33
bird1,2,17,0.1,-0.6960944273853931,56,33
bird1,3,17,0.001,-0.6842315552996223,392,71
bird1,3,17,0.01,-0.6828058303268992,392,71
bird1,3,17,0.1,-0.6820701039596588,392,71
bird1,4,17,0.001,-0.687488387929899,2744,123
bird1,4,17,0.01,-0.6849390817164867,2744,123
bird1,4,17,0.1,-0.6837314267444425,2744,123
bird1,5,17,0.001,-0.7014585372550699,19208,196
bird1,5,17,0.01,-0.694176217916285,19208,196
bird1,5,17,0.1,-0.6897457595972155,19208,196
bird1,0,18,0.001,-1.7109288071321802,1,1
bird1,0,18,0.01,-1.7109288806402292,1,1
bird1,0,18,0.1,-1.7109296159281533,1,1
bird1,1,18,0.001,-0.7492122995105633,8,8
bird1,1,18,0.01,-0.7490469710653831,8,8
bird1,1,18,0.1,-0.7488905260075748,8,8
bird1,2,18,0.001,-0.7064469356946264,56,37
bird1,2,18,0.01,-0.7044039317633122,56,37
bird1,2,18,0.1,-0.7027328659551351,56,37
bird1,3,18,0.001,-0.6898507564912363,392,78
bird1,3,18,0.01,-0.6877790257206263,392,78
bird1,3,18,0.1,-0.6864831357543724,392,78
bird1,4,18,0.001,-0.6904530195927855,2744,131
bird1,4,18,0.01,-0.687125485612827,2744,131
bird1,4,18,0.1,-0.6853593793606648,2744,131
bird1,5,18,0.001,-0.6980187530931057,19208,198
bird1,5,18,0.01,-0.6919967368571871,19208,198
bird1,5,18,0.1,-0.688564828756312,19208,198
bird1,0,19,0.001,-1.7291379708605648,1,1
bird1,0,19,0.01,-1.7291379955937531,1,1
bird1,0,19,0.1,-1.7291382431547662,1,1
bird1,1,19,0.001,-0.7470004885815569,8,8
bird1,1,19,0.01,-0.7470024614931973,8,8
bird1,1,19,0.1,-0.7470225501506533,8,8
bird1,2,19,0.001,-0.7033853810790868,56,34
bird1,2,19,0.01,-0.7021565669295101,56,34
bird1,2,19,0.1,-0.701254700926905,56,34
bird1,3,19,0.001,-0.6902368157742652,392,75
bird1,3,19,0.01,-0.6881119172412868,392,75
bird1,3,19,0.1,-0.6870525136472909,392,75
bird1,4,19,0.001,-0.6926634731930429,2744,129
bird1,4,19,0.01,-0.6905389194462638,2744,129
bird1,4,19,0.1,-0.6899997794114661,2744,129
bird1,5,19,0.001,-0.7056673786913733,19208,203
bird1,5,19,0.01,-0.6990397271918904,19208,203
bird1,5,19,0.1,-0.6956452124509896,19208,203
bird1,0,20,0.001,-1.7291127458354223,1,1
bird1,0,20,0.01,-1.729112733608067,1,1
bird1,0,20,0.1,-1.7291126116295095,1,1
bird1,1,20,0.001,-0.7535586349626316,8,8
