species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bre,2,18,0.001,-0.09493002598504781,110,42
bre,2,18,0.01,-0.0939894949130469,110,42
bre,2,18,0.1,-0.09320954519068606,110,42
bre,3,18,0.001,-0.13780248903299933,1100,119
bre,3,18,0.01,-0.13431671885966842,1100,119
bre,3,18,0.1,-0.13329662187399674,1100,119
bre,4,18,0.001,-0.36985847980135717,11000,208
bre,4,18,0.01,-0.36482845667365404,11000,208
bre,4,18,0.1,-0.36568257474084015,11000,208
bre,5,18,0.001,-0.8825342878592176,110000,270
bre,5,18,0.01,-0.8372723774596242,110000,270
bre,5,18,0.1,-0.811092744703652,110000,270
bre,6,18,0.001,-1.4077339726505185,1100000,292
bre,6,18,0.01,-1.4027977951766608,1100000,292
bre,6,18,0.1,-1.4038168184341009,1100000,292
bre,0,19,0.001,-2.240918982433496,1,1
bre,0,19,0.01,-2.240918968288093,1,1
bre,0,19,0.1,-2.240918826967139,1,1
bre,1,19,0.001,-0.061960378224651336,11,10
bre,1,19,0.01,-0.06192388921051358,11,10
bre,1,19,0.1,-0.06191203030807634,11,10
bre,2,19,0.001,-0.08301042093800425,110,40
bre,2,19,0.01,-0.08263732553615527,110,40
bre,2,19,0.1,-0.08242478956223873,110,40
bre,3,19,0.001,-0.09478232747782322,1100,111
bre,3,19,0.01,-0.09293336117429929,1100,111
bre,3,19,0.1,-0.09331502106865337,1100,111
bre,4,19,0.001,-0.23710133556841972,11000,195
bre,4,19,0.01,-0.22463176214561376,11000,195
bre,4,19,0.1,-0.22124471816415642,11000,195
bre,5,19,0.001,-0.839052014902785,110000,260
bre,5,19,0.01,-0.8336015979079872,110000,260
bre,5,19,0.1,-0.8364972941080289,110000,260
bre,6,19,0.001,-1.2464879844781156,1100000,291
bre,6,19,0.01,-1.2419173215921802,1100000,291
bre,6,19,0.1,-1.245181256004778,1100000,291
bre,0,20,0.001,-2.3111961510068153,1,1
bre,0,20,0.01,-2.311196078693076,1,1
bre,0,20,0.1,-2.311195355702807,1,1
bre,1,20,0.001,-0.08358137137699057,11,10
bre,1,20,0.01,-0.08358344303638805,11,10
bre,1,20,0.1,-0.0836043506473581,11,10
bre,2,20,0.001,-0.08521079321674561,110,41
bre,2,20,0.01,-0.08484383504583201,110,41
bre,2,20,0.1,-0.08457875860244528,110,41
bre,3,20,0.001,-0.10743534304497862,1100,119
bre,3,20,0.01,-0.10272564879074145,1100,119
bre,3,20,0.1,-0.09999807476993332,1100,119
bre,4,20,0.001,-0.33263689529114127,11000,209
bre,4,20,0.01,-0.3229890940810255,11000,209
bre,4,20,0.1,-0.3186443685836487,11000,209
bre,5,20,0.001,-0.8325634951383164,110000,268
bre,5,20,0.01,-0.7934689058204923,110000,268
bre,5,20,0.1,-0.769512034380586,110000,268
bre,6,20,0.001,-1.1391626654309337,1100000,300
bre,6,20,0.01,-1.1346078449091765,1100000,300
bre,6,20,0.1,-1.1354833540722122,1100000,300
bre,0,21,0.001,-2.259203847248651,1,1
bre,0,21,0.01,-2.259203795604052,1,1
bre,0,21,0.1,-2.2592032793379584,1,1
bre,1,21,0.001,-0.08877344006241673,11,10
bre,1,21,0.01,-0.08877441111652394,11,10
bre,1,21,0.1,-0.0887842831781687,11,10
bre,2,21,0.001,-0.10261651087334779,110,41
bre,2,21,0.01,-0.10188479851886979,110,41
bre,2,21,0.1,-0.10122839289547662,110,41
bre,3,21,0.001,-0.1526770181416264,1100,123
bre,3,21,0.01,-0.14806617237027464,1100,123
bre,3,21,0.1,-0.15544475879322317,1100,123
bre,4,21,0.001,-0.7371943910570032,11000,214
